iter	Logloss
0	0.6868245807
1	0.6806033243
2	0.674084007
3	0.6684041277
4	0.6627914784
5	0.6578052495
6	0.6519395913
7	0.6465038477
8	0.6419158517
9	0.635905507
10	0.6307235756
11	0.6260577959
12	0.6205685437
13	0.615764331
14	0.611259417
15	0.606415586
16	0.6009053617
17	0.5960973485
18	0.5923832623
19	0.5879569352
20	0.5836870685
21	0.5793404612
22	0.5752772369
23	0.5711317667
24	0.567611448
25	0.5639770406
26	0.5604079981
27	0.5568869444
28	0.5539250572
29	0.5508429617
30	0.5470429257
31	0.5438096368
32	0.5402007593
33	0.537167692
34	0.5341649155
35	0.5314439225
36	0.5284082259
37	0.5256643674
38	0.5229385629
39	0.5199744394
40	0.5176807545
41	0.5152696488
42	0.5121237128
43	0.5097042544
44	0.506917973
45	0.5041691577
46	0.5015244368
47	0.4990322995
48	0.4970060694
49	0.4953022969
50	0.4930291134
51	0.4908209927
52	0.4886677086
53	0.4863700385
54	0.4846478421
55	0.4831256934
56	0.480872991
57	0.4789230012
58	0.477527962
59	0.4755751176
60	0.4738726664
61	0.471963029
62	0.4698013583
63	0.4686410686
64	0.4669953831
65	0.4648032693
66	0.4639956325
67	0.4624071263
68	0.4611859231
69	0.4601410883
70	0.4585034158
71	0.4572674636
72	0.4558991289
73	0.4549923621
74	0.4539588394
75	0.4527218057
76	0.4512880172
77	0.4496465353
78	0.4484231349
79	0.4470067516
80	0.4458960929
81	0.4443877248
82	0.4431190001
83	0.4421495272
84	0.4410814522
85	0.4397487736
86	0.4384942917
87	0.4374600907
88	0.4366144615
89	0.4356308036
90	0.43457724
91	0.4333526978
92	0.4321643577
93	0.4312723312
94	0.4303831439
95	0.4295919528
96	0.4285170292
97	0.4274518256
98	0.4266867978
99	0.425825208
100	0.4254792361
101	0.4245724619
102	0.4237089244
103	0.4230405935
104	0.4222382943
105	0.4216713563
106	0.420692591
107	0.4202999707
108	0.4194028753
109	0.4185970271
110	0.4179676848
111	0.4171646174
112	0.4165754197
113	0.4158682835
114	0.4156177805
115	0.4148264976
116	0.4140137517
117	0.4131978152
118	0.4124631776
119	0.4120747063
120	0.4114702954
121	0.4107923857
122	0.4100113404
123	0.4092805643
124	0.4086766602
125	0.4078513933
126	0.4071260199
127	0.4065573677
128	0.4057473697
129	0.4052727825
130	0.4044845976
131	0.4039238619
132	0.4033699197
133	0.4027183137
134	0.4019592999
135	0.4014767323
136	0.4009632411
137	0.4002207312
138	0.3999496324
139	0.3994347877
140	0.3989896159
141	0.3985644966
142	0.3982551457
143	0.3976745314
144	0.3971488466
145	0.3966482416
146	0.3962251734
147	0.3959707051
148	0.3953904471
149	0.3950745577
150	0.3947951388
151	0.3946171852
152	0.394034211
153	0.3936400849
154	0.3930719129
155	0.3926981418
156	0.3923769249
157	0.392088999
158	0.3918462635
159	0.3915669885
160	0.3910920958
161	0.3906771444
162	0.3904761225
163	0.3901447349
164	0.3896288165
165	0.3891189238
166	0.3887317182
167	0.3882228514
168	0.3878658117
169	0.3876254891
170	0.3873289186
171	0.3868575949
172	0.3866043505
173	0.3862394674
174	0.3859561899
175	0.3855448607
176	0.3852834146
177	0.3849858578
178	0.3847069525
179	0.3845326538
180	0.3841539075
181	0.3838188377
182	0.3835388841
183	0.3831350707
184	0.382845117
185	0.3822738071
186	0.3821093595
187	0.3818703276
188	0.3815103874
189	0.3814687827
190	0.3810286221
191	0.3808478493
192	0.3805092498
193	0.3802561715
194	0.379834092
195	0.3793703719
196	0.3790186322
197	0.3789099002
198	0.3786702659
199	0.3784951028
200	0.378151455
201	0.377844263
202	0.3774530958
203	0.377333138
204	0.3770971427
205	0.3768588741
206	0.3766355043
207	0.376330967
208	0.3761152227
209	0.3757896464
210	0.3756284654
211	0.375361015
212	0.3750682269
213	0.3746814579
214	0.3743775096
215	0.374182046
216	0.3739047174
217	0.373703128
218	0.3734957303
219	0.373171668
220	0.3729359922
221	0.3727476057
222	0.3725357677
223	0.3722821529
224	0.3720658544
225	0.3719680192
226	0.3717581179
227	0.3715376759
228	0.3711990382
229	0.370885875
230	0.3706665197
231	0.3705762251
232	0.370261605
233	0.3700716134
234	0.3698615231
235	0.369679583
236	0.3695373146
237	0.3693840921
238	0.3691864391
239	0.3689477735
240	0.3687095412
241	0.3684668707
242	0.3682371651
243	0.3679570841
244	0.3676475123
245	0.3674101036
246	0.3673070943
247	0.3672421193
248	0.3670519997
249	0.3669135031
250	0.3666338244
251	0.3665001664
252	0.3663020471
253	0.3661435866
254	0.3660218307
255	0.3657608898
256	0.365557427
