iter	Passed	Remaining
0	1	3567
1	3	3365
2	4	3263
3	6	3199
4	7	3167
5	9	3137
6	10	3112
7	12	3117
8	14	3110
9	15	3153
10	17	3140
11	18	3145
12	20	3125
13	21	3112
14	23	3094
15	24	3093
16	26	3080
17	27	3076
18	29	3095
19	31	3104
20	32	3107
21	34	3124
22	36	3124
23	37	3119
24	39	3115
25	41	3163
26	43	3165
27	45	3228
28	47	3231
29	49	3258
30	51	3257
31	52	3248
32	54	3235
33	55	3225
34	57	3214
35	58	3208
36	61	3282
37	63	3280
38	65	3268
39	66	3258
40	67	3248
41	69	3242
42	71	3234
43	72	3242
44	74	3244
45	76	3248
46	78	3244
47	79	3242
48	81	3240
49	83	3238
50	84	3235
51	86	3229
52	87	3227
53	89	3239
54	91	3247
55	93	3251
56	95	3254
57	97	3262
58	99	3272
59	101	3269
60	102	3262
61	104	3253
62	105	3248
63	107	3262
64	109	3260
65	111	3254
66	112	3233
67	113	3227
68	115	3221
69	116	3214
70	118	3211
71	119	3206
72	121	3202
73	122	3200
74	124	3194
75	125	3189
76	127	3183
77	128	3178
78	130	3173
79	131	3167
80	133	3162
81	134	3157
82	136	3157
83	138	3155
84	140	3167
85	142	3168
86	144	3167
87	145	3163
88	147	3161
89	148	3157
90	150	3152
91	151	3147
92	153	3142
93	155	3160
94	157	3159
95	159	3155
96	160	3152
97	162	3150
98	164	3149
99	165	3148
100	166	3135
101	169	3147
102	171	3164
103	173	3161
104	174	3156
105	176	3152
106	178	3149
107	179	3139
108	180	3135
109	182	3132
110	183	3129
111	185	3130
112	187	3128
113	189	3127
114	190	3117
115	191	3118
116	193	3119
117	195	3117
118	197	3115
119	199	3121
120	201	3121
121	203	3129
122	204	3126
123	206	3129
124	208	3127
125	210	3123
126	211	3119
127	213	3117
128	214	3114
129	216	3112
130	218	3118
131	220	3116
132	221	3112
133	223	3109
134	224	3105
135	226	3101
136	227	3098
137	229	3094
138	230	3088
139	232	3084
140	233	3083
141	235	3087
142	237	3085
143	239	3083
144	240	3080
145	242	3077
146	244	3075
147	245	3072
